access_right;communities;conference_acronym;conference_dates;conference_place;conference_title;conference_url;contributors;creators;description;doi;keywords;license;prereserve_doi;publication_date;related_identifiers;title;upload_type;conceptdoi;files
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Ruhr-Universität Bochum, Germany', 'name': 'Elwert, Frederik', 'orcid': '0000-0001-9149-9377'}, {'affiliation': 'Ruhr-Universität Bochum, Germany', 'name': 'Pons, Jessie', 'orcid': '0000-0003-1211-2213'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322468;['Buddhismus', 'Kunstgeschichte', 'Linked Open Data', 'Cultural Heritage', 'Teilen', 'Sammlung', 'Bilderfassung', 'Annotieren', 'Artefakte', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322468', 'recid': 6322468};2022-03-07;[{'identifier': '10.5281/zenodo.6327971', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];"Brücken bauen für Buddha - Das Projekt ""Digitalisierung Gandharischer Artefakte"" (DiGA) und die Pelagios Working Group ""Linked Data Methodologies in Gandharan Buddhist Art and Texts""";poster;10.5281/zenodo.6322467;['DHd2022_014_Elwert_Brücken bauen für Buddha_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Österreichische Akademie der Wissenschaften, Austria', 'name': 'Fischer-Nebmaier, Wladimir', 'orcid': '0000-0002-6725-9012'}, {'affiliation': 'Österreichische Akademie der Wissenschaften, Austria', 'name': 'Kurz, Stephan', 'orcid': '0000-0003-2546-2570'}, {'affiliation': 'Österreichische Akademie der Wissenschaften, Austria', 'name': 'Lein, Richard', 'orcid': '0000-0002-7502-0503'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322472;['strukturierter Text', 'linked open data', 'mixed methods', 'Transkription', 'Annotieren', 'Kommentierung', 'Konservierung', 'Bibliographie', 'benannte Entitäten (named entities)', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322472', 'recid': 6322472};2022-03-07;[{'identifier': '10.5281/zenodo.6327979', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];The Digitized minutes of the Habsburg Governments, 1848-1918;poster;10.5281/zenodo.6322471;['DHd2022_015_Fischer-Nebmaier_The Digitized minutes of the Habsburg Governments, 1848-1918_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Universität Trier, Germany', 'name': 'Gebhard, Henning'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322474;['TEI', 'Editor', 'Fidus Writer', 'Prototyp', 'Kommunikation', 'Archivierung', 'Kollaboration', 'Webentwicklung', 'Metadaten', 'Werkzeuge', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322474', 'recid': 6322474};2022-03-07;[{'identifier': '10.5281/zenodo.6327991', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Fidus Writer als Alternative zum DH ConValidator? Ein Prototyp;poster;10.5281/zenodo.6322473;['DHd2022_016_Gebhard_Fidus Writer als Alternative zum DH ConValidator Ein Prototyp_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Dumont, Stefan', 'orcid': '0000-0002-6923-0950'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Grabsch, Sascha', 'orcid': '0000-0002-7447-4589'}, {'affiliation': 'Freie Universität Berlin', 'name': 'Müller-Laackman, Jonas', 'orcid': '0000-0003-2279-6751'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322476;['Normdaten', 'Visualisierung', 'Datenaggregation', 'Sammlung', 'Bearbeitung', 'Netzwerkanalyse', 'Visualisierung', 'benannte Entitäten (named entities)', 'Text', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322476', 'recid': 6322476};2022-03-07;[{'identifier': '10.5281/zenodo.6327999', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];correspSearch v2.0 - Briefeditionen vernetzen;poster;10.5281/zenodo.6322475;['DHd2022_319_Dumont_Webservice correspSearch - Version 2_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Universität Stuttgart, Germany', 'name': 'Heckelen, Malte'}, {'affiliation': 'Universität Stuttgart, Germany', 'name': 'Schlesinger, Claus-Michael'}, {'affiliation': 'Universität Stuttgart, Germany', 'name': 'Burkhard, Fabienne'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322480;['virtual desktop', 'Remote Lehre', 'Lehr- und Lernumgebung', 'Lehre', 'virtuelle Forschungsumgebungen', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322480', 'recid': 6322480};2022-03-07;[{'identifier': '10.5281/zenodo.6328013', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];DH2go - Lehr- und Lernumgebung für die Digital Humanities;poster;10.5281/zenodo.6322479;['DHd2022_018_Heckelen_DH2go - Lehr- und Lernumgebung für die Digital Humanities_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Rheinische Friedrich-Wilhelms-Universität Bonn, Deutschland', 'name': 'Borges, Rebekka'}, {'affiliation': 'Data Center for the Humanites (DCH), Universität zu Köln, Deutschland', 'name': 'Debbeler, Anke'}, {'affiliation': 'Data Center for the Humanites (DCH), Universität zu Köln, Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322482;['Forschungsdatenmanagement', 'FDM', 'Data Steward', 'Datenstrategie', 'Publikation', 'Archvierung', 'Veröffentlichung', 'Teilen', 'Archivierung', 'Veröffentlichung', 'Daten', 'Forschungsergebnis', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322482', 'recid': 6322482};2022-03-07;[{'identifier': '10.5281/zenodo.6328017', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Der DHd Data Steward - Maßnahmen zur Entwicklung einer nachhaltigen Datenstrategie für die Digital Humanities im deutschsprachigen Raum;poster;10.5281/zenodo.6322481;['DHd2022_019_Borges_Der DHd Data Steward_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Data Center for the Humanities (DCH), Universität zu Köln, Deutschland', 'name': 'Rau, Felix', 'orcid': '0000-0003-4167-0601'}, {'affiliation': 'Data Center for the Humanities (DCH), Universität zu Köln, Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322486;['Forschungsdatenmanagement', 'FDM', 'Datenmanagement', 'Digital Humanities', 'Dienstekatalog', 'AG Datenzentren', 'Kommunikation', 'Community-Bildung', 'Daten', 'Infrastruktur', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322486', 'recid': 6322486};2022-03-07;[{'identifier': '10.5281/zenodo.6328019', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Der Dienstekatalog der AG Datenzentren - Ein digitales Verzeichnis für Forschungsdatenmanagement-Services in den Geisteswissenschaften;poster;10.5281/zenodo.6322485;['DHd2022_020_Rau_Der Dienstekatalog der AG Datenzentren - ein digitales Verzeichnis für Forschungsdatenmanageme_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Universität Stuttgart, Institut für maschinelle Sprachverarbeitung', 'name': 'Blessing, André', 'orcid': '0000-0001-7573-578X'}, {'affiliation': 'Deutsches Literaturarchiv Marbach, Germany', 'name': 'Hess, Jan', 'orcid': '0000-0003-4162-2132'}, {'affiliation': 'Universität Stuttgart, Institut für maschinelle Sprachverarbeitung', 'name': 'Jung, Kerstin', 'orcid': '0000-0002-9548-8461'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322488;['Exploration', 'Bloganalyse', 'Korpusanalyse', 'Entdeckung', 'Inhaltsanalyse', 'Beziehungsanalyse', 'Netzwerkanalyse', 'Literatur', 'Text', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322488', 'recid': 6322488};2022-03-07;[{'identifier': '10.5281/zenodo.6328029', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];"""Ja, jetzt ist das langweilig. Aber in zwanzig Jahren!"" - Bereitstellung, Zugang und Analyse literarischer Blogs am Beispiel des Techniktagebuchs";poster;10.5281/zenodo.6322487;['DHd2022_021_Blessing_,,Ja, jetzt ist das langweilig Aber in zwanzig Jahren!_ - Bereitstellung, Zugang_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Universität Trier, Germany', 'name': 'Hinzmann, Maria', 'orcid': '0000-0001-7199-1436'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Schöch, Christof', 'orcid': '0000-0002-4557-2753'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Dietz, Katharina', 'orcid': '0000-0001-7405-3656'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Klee, Anne', 'orcid': '0000-0002-1532-2649'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Erler-Fridgen, Katharina', 'orcid': '0000-0002-2061-2974'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Röttgermann, Julia', 'orcid': '0000-0002-1918-8117'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Steffes, Moritz', 'orcid': '0000-0002-4355-3209'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322490;['Linked Open Data', 'Informationsextraktion', 'Datenmodellierung', 'Literaturgeschichte', 'Datenerkennung', 'Modellierung', 'Identifizierung', 'Literatur', 'Metadaten', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322490', 'recid': 6322490};2022-03-07;[{'identifier': '10.5281/zenodo.6328037', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];"Linked Open Data für die Literaturgeschichtsschreibung - Das Projekt ""Mining and Modeling Text""";poster;10.5281/zenodo.6322489;['DHd2022_022_Hinzmann_Linked Open Data für die Literaturgeschichtsschreibung_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Österreichische Akademie der Wissenschaften, Austria', 'name': 'Illmayer, Klaus', 'orcid': '0000-0001-7253-996X'}, {'affiliation': 'Universitätsbibliothek Johann Christian Senckenberg', 'name': 'Tiefenbacher, Sara'}, {'affiliation': 'Universitätsbibliothek Johann Christian Senckenberg', 'name': 'Voß, Franziska'}, {'affiliation': 'Universitätsbibliothek Johann Christian Senckenberg', 'name': 'Beck, Julia'}, {'affiliation': 'Internationales Theater Institut Deutschland, Berlin / Mediathek für Tanz und Theater', 'name': 'Henninger, Christine'}, {'affiliation': 'Internationales Theater Institut Deutschland, Berlin / Mediathek für Tanz und Theater', 'name': 'Wittenbecher, Maxim'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322494;['Tanzaufführung', 'Theateraufführung', 'audiovisuelle Aufzeichnungen', 'Mediatheken', 'Modellierung', 'Veröffentlichung', 'Infrastruktur', 'Metadaten', 'benannte Entitäten (named entities)', 'Video', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322494', 'recid': 6322494};2022-03-07;[{'identifier': '10.5281/zenodo.6328043', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Mediatheken der Darstellenden Kunst digital vernetzen;poster;10.5281/zenodo.6322493;['DHd2022_023_Illmayer_Mediatheken der Darstellenden Kunst digital vernetzen_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'German Historical Institute Washington DC', 'name': 'Keck, Jana', 'orcid': '0000-0002-9416-1256'}, {'affiliation': 'Universität Stuttgart, Institut für Maschinelle Sprachverarbeitung', 'name': 'Blessing, Andre', 'orcid': '0000-0001-7573-578X'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322498;['Digitized Newspapers', 'Digital Archive', 'Machine Learning', 'Sammlung', 'Annotieren', 'Kontextsetzung', 'Bearbeitung', 'Literatur', 'Text', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322498', 'recid': 6322498};2022-03-07;[{'identifier': '10.5281/zenodo.6328049', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Beyond Budweiser - Creating a Digital Archive of Popular German-American Newspaper Literature;poster;10.5281/zenodo.6322497;['DHd2022_024_Keck_Beyond Budweiser_b.pdf']
